id,category,name,owner,contact,address,city,cityCode,phone,noRooms,noBeds,attribute
12,"*","MOXY Vienna Airport","-","-","Ausfahrtsstraße 4","Schwechat","1300","-",42,76,""
13,"****","NH Vienna Airport Conference Center","-","-","Einfahrtstraße 1-3","Schwechat","1300","-",17,81,""
14,"*","OEKOTEL Korneuburg","-","-","Kaiserallee 31","Bisamberg","2102","-",4,15,""
15,"**","Hotel Rainers21","-","-","Liebermannstraße Campus 21","Brunn","2345","-",21,45,""
16,"****","Therme Laa - Hotel & Silent Spa","-","-","Thermenplatz 3","Laa","2136","-",44,81,""
17,"****","Hotel Altes Kloster","-","-","Fabriksplatz 1","Hainburg","2410","-",50,428,""
18,"****","ad vineas Gästehaus Nikolaihof-Hotel Garni","-","-","Kainzstraße 14","Mautern","3512","-",25,10,""
19,"****","Thermenhotel Gutenbrunn","-","-","Rollettgasse 6","Baden","2500","-",42,69,""
20,"**","AVIA Motel Bisamberg","-","-","Im Sandhubel 001","Korneuburg","2102","-",12,23,""
21,"****","Hotel Schloss Weikersdorf","-","-","Schlossgasse 9-11","Baden","2500","-",20,50,""
22,"**","Kolping Campus Krems","-","-","Alauntalstraße 95 und 97","Krems","3500","-",12,24,""
23,"*","Win Budget B&B","-","-","Wiener Straße-Werkstraße 113/2.4 2.5","Wiener","2700","-",44,142,""
24,"****","Diamond City Hotel Tulln","-","-","Nussallee 18","Tulln","3430","-",41,345,""
25,"***","Hotel Unter den Linden","-","-","Schillerstraße 5","Krems","3500","-",32,69,""
26,"***","Stadthotel Deutsch Wagram","-","-","25 Hauptstrasse","Deutsch-Wagram","2232","-",2,19,""
27,"****","Steigenberger Hotel and Spa","-","-","Am Goldberg 2","Krems","3500","-",1,4,""
28,"**","Das Alfred","-","-","Rödlgasse 11","St.","3100","-",24,21,""
29,"***","Hotel Zentral","-","-","Hauptplatz 27","Wiener","2700","-",59,288,""
30,"****","arte Hotel Krems","-","-","Dr. Karl-Dorrek-Straße 23","Krems","3500","-",23,155,""
31,"****","Hotel Klinglhuber","-","-","Hohensteinstrasse 5","Krems","3500","-",33,24,""
32,"**","Gasthof Klinglhuber","-","-","Wiener Straße 2","Krems","3500","-",46,218,""
33,"****","Hotel Karl-Wirt","-","-","Ketzergasse 155","Perchtoldsdorf","2380","-",22,79,""
34,"****","MALAT Weingut und Hotel","-","-","Hafnerstraße 12","Furth","3511","-",12,72,""
35,"*","Hotel garni Schauhuber","-","-","16 Steiner Landstraße","Krems","3500","-",12,44,""
36,"****","At the Park Hotel","-","-","Kaiser-Franz-Ring 5","Baden","2500","-",74,395,""
37,"****","Das Reinisch - Vienna Airport Hotel","-","-","Mannswörther Straße 76","Schwechat","2320","-",28,79,""
38,"***","Phoenix7","-","-","Neudorfer Straße 7","Mödling","2340","-",5,7,""
39,"***","Parkhotel Krems","-","-","Edmund-Hofbauer-Straße 19","Krems","3500","-",49,46,""
